Timecode,WinLose,WinProb,Trial,Condition,Time,Tot_spikes,Post_spikes
234482993,0,low,1,NonSocial,7155.85305786133,18,7
234677114,0,low,2,NonSocial,7161.77716064453,19,11
234871231,0,low,3,NonSocial,7167.70114135742,16,4
235065355,0,low,4,NonSocial,7173.62533569336,17,12
235259452,1,low,5,NonSocial,7179.54870605469,22,7
235525652,0,low,6,NonSocial,7187.67248535156,14,11
235769503,0,low,7,NonSocial,7195.11422729492,21,8
235963611,0,low,8,NonSocial,7201.03793334961,16,7
236157734,0,low,9,NonSocial,7206.96209716797,24,16
236401544,0,low,10,NonSocial,7214.40258789062,12,3
236595663,0,low,11,NonSocial,7220.32662963867,22,11
236789788,0,low,12,NonSocial,7226.25085449219,13,6
236983908,0,low,13,NonSocial,7232.17492675781,12,6
237178001,1,low,14,NonSocial,7238.09817504883,15,9
237421814,0,low,15,NonSocial,7245.53875732422,13,6
237615935,1,low,16,NonSocial,7251.46286010742,11,4
237810055,0,low,17,NonSocial,7257.38693237305,13,8
238004207,0,low,18,NonSocial,7263.31198120117,18,7
238198321,0,low,19,NonSocial,7269.23587036133,19,7
238392444,0,low,20,NonSocial,7275.16003417969,6,4
238656459,0,low,21,NonSocial,7283.21713256836,16,10
238850579,0,low,22,NonSocial,7289.14120483398,20,11
239044706,0,low,23,NonSocial,7295.06549072266,11,6
239240234,0,low,24,NonSocial,7301.03253173828,4,4
239434286,1,low,25,NonSocial,7306.95452880859,20,14
239628406,0,low,26,NonSocial,7312.87860107422,11,4
239822553,0,low,27,NonSocial,7318.80349731445,22,13
240016673,0,low,28,NonSocial,7324.72756958008,25,8
240210767,1,low,29,NonSocial,7330.65084838867,22,7
240404888,0,low,30,NonSocial,7336.57495117188,16,7
240599009,1,low,31,NonSocial,7342.49905395508,18,9
240793130,0,low,32,NonSocial,7348.42315673828,18,7
240987278,0,low,33,NonSocial,7354.34808349609,9,7
241181397,0,low,34,NonSocial,7360.27212524414,29,7
241380560,0,low,35,NonSocial,7366.35009765625,31,8
241574554,0,low,36,NonSocial,7372.27032470703,17,11
241768650,1,low,37,NonSocial,7378.19366455078,19,11
241962796,1,low,38,NonSocial,7384.11853027344,18,8
242156917,1,low,39,NonSocial,7390.04263305664,18,5
